title,release_year,imdb_id,genre,imdb_rating,date_watched
Daylight,1996,tt0116040,"Action, Adventure, Drama",5.9,25/08/2021
Tomb Raider,2018,tt1365519,"Action, Adventure, Fantasy",6.3,25/08/2021
Demolition Man,1993,tt0106697,"Action, Sci-Fi, Thriller",6.7,24/08/2021
Desperado,1995,tt0112851,"Action, Crime, Thriller",7.2,22/08/2021
Bridget Christie: Stand Up for Her,2016,tt7309512,Comedy,6.6,17/08/2021
Blood Red Sky,2021,tt6402468,"Action, Horror, Thriller",6.1,16/08/2021
Don't Let Go,2019,tt6803212,"Drama, Horror, Mystery",6.4,15/08/2021
The Island,2005,tt0399201,"Action, Sci-Fi, Thriller",6.8,14/08/2021
The Ugly Truth,2009,tt1142988,"Comedy, Romance",6.4,13/08/2021
The Cloverfield Paradox,2018,tt2548396,"Action, Horror, Sci-Fi",5.5,12/08/2021
Cockneys vs Zombies,2012,tt1362058,"Action, Comedy, Horror",5.9,10/08/2021
The Open House,2018,tt7608028,"Horror, Thriller",3.2,09/08/2021
Aftermath,2017,tt4581576,"Drama, Thriller",5.7,08/08/2021
Saw III,2006,tt0489270,"Crime, Horror, Mystery",6.2,04/08/2021
Bo Burnham: Inside,2021,tt14544192,"Comedy, Drama, Music",9.0,03/08/2021
The Meg,2018,tt4779682,"Action, Horror, Sci-Fi",5.6,29/07/2021
Army of the Dead,2021,tt0993840,"Action, Crime, Horror",5.8,28/07/2021
Crimson Peak,2015,tt2554274,"Drama, Horror, Mystery",6.5,26/07/2021
Stowaway,2021,tt9203694,"Drama, Sci-Fi, Thriller",5.6,25/07/2021
The Strangers,2008,tt0482606,"Horror, Mystery, Thriller",6.2,24/07/2021
Late Night,2019,tt6107548,"Comedy, Drama",6.5,23/07/2021
Split,2016,tt4972582,"Horror, Thriller",7.3,23/07/2021
Iliza Shlesinger: Unveiled,2019,tt11163008,Comedy,6.5,22/07/2021
Highlander,1986,tt0091203,"Action, Adventure, Fantasy",7.1,18/07/2021
Awake,2007,tt0211933,"Crime, Drama, Mystery",6.5,16/07/2021
The Other Guys,2010,tt1386588,"Action, Comedy, Crime",6.7,15/07/2021
The Road to El Dorado,2000,tt0138749,"Animation, Adventure, Comedy",6.9,10/07/2021
Happy Death Day 2U,2019,tt8155288,"Comedy, Horror, Mystery",6.2,09/07/2021
Couples Retreat,2009,tt1078940,Comedy,5.5,05/07/2021
Good on Paper,2021,tt8231668,"Comedy, Romance",5.6,29/06/2021
Believe Me: The Abduction of Lisa McVey,2018,tt9072202,"Biography, Crime, Drama",7.1,25/06/2021
The Dead Don't Die,2019,tt8695030,"Comedy, Fantasy, Horror",5.5,20/06/2021
Tremors,1990,tt0100814,"Comedy, Horror",7.1,19/06/2021
Friends with Money,2006,tt0436331,"Comedy, Drama, Romance",5.8,17/06/2021
Think Like a Man Too,2014,tt2239832,"Comedy, Romance",5.8,16/06/2021
Candyman,1992,tt0103919,"Horror, Thriller",6.7,16/06/2021
Shrek,2001,tt0126029,"Animation, Adventure, Comedy",7.9,15/06/2021
The Boy,2016,tt3882082,"Horror, Mystery, Thriller",6.0,15/06/2021
Anna and the Apocalypse,2017,tt6433880,"Comedy, Horror, Musical",6.1,14/06/2021
Along Came Polly,2004,tt0343135,"Comedy, Romance",6.0,13/06/2021
Hancock,2008,tt0448157,"Action, Drama, Fantasy",6.4,09/06/2021
Malevolent,2018,tt2386237,"Horror, Mystery, Thriller",4.8,09/06/2021
Friday the 13th,1980,tt0080761,"Horror, Mystery, Thriller",6.4,08/06/2021
Run,2020,tt8633478,"Mystery, Thriller",6.7,07/06/2021
Brightburn,2019,tt7752126,"Drama, Horror, Mystery",6.1,07/06/2021
Second Act,2018,tt2126357,"Comedy, Drama, Romance",5.8,06/06/2021
The Conjuring,2013,tt1457767,"Horror, Mystery, Thriller",7.5,05/06/2021
Death to 2020,2020,tt13567480,Comedy,6.8,05/06/2021
Overlord,2018,tt4530422,"Action, Horror, Sci-Fi",6.6,04/06/2021
Pitch Perfect,2012,tt1981677,"Comedy, Music, Romance",7.1,29/05/2021
Bridesmaids,2011,tt1478338,"Comedy, Romance",6.8,22/05/2021
Katherine Ryan: In Trouble,2017,tt6540084,Comedy,7.0,21/05/2021
Limitless,2011,tt1219289,"Sci-Fi, Thriller",7.4,19/05/2021
The Woman in the Window,2021,tt6111574,"Crime, Drama, Mystery",5.7,17/05/2021
The Perfection,2018,tt7772580,"Drama, Horror, Music",6.2,16/05/2021
Take Me,2017,tt6598626,"Comedy, Crime, Mystery",6.1,15/05/2021
Taylor Tomlinson: Quarter-Life Crisis,2020,tt11738792,Comedy,7.4,15/05/2021
Sisters,2015,tt1850457,Comedy,6.0,11/05/2021
Kath & Kimderella,2012,tt1859607,Comedy,5.3,10/05/2021
Da Kath & Kim Code,2005,tt0484275,Comedy,7.4,10/05/2021
Moxie,2021,tt6432466,"Comedy, Drama, Music",6.7,10/05/2021
Bo Burnham: Make Happy,2016,tt5192124,"Comedy, Music",8.4,10/05/2021
Men in Black: International,2019,tt2283336,"Action, Adventure, Comedy",5.6,09/05/2021
Bo Burnham: what.,2013,tt3210258,"Comedy, Music",8.4,09/05/2021
What to Expect When You're Expecting,2012,tt1586265,"Comedy, Drama, Romance",5.7,09/05/2021
The Final Girls,2015,tt2118624,"Comedy, Drama, Fantasy",6.6,05/05/2021
A Star Is Born,2018,tt1517451,"Drama, Music, Romance",7.6,04/05/2021
A Long Way Down,2014,tt0458413,"Comedy, Drama",6.4,04/05/2021
Premonition,2007,tt0477071,"Drama, Fantasy, Mystery",5.9,03/05/2021
Burlesque,2010,tt1126591,"Drama, Music, Musical",6.4,02/05/2021
Love and Monsters,2020,tt2222042,"Action, Adventure, Comedy",7.0,02/05/2021
School of Rock,2018,tt8526282,Music,N/A,01/05/2021
Rocketman,2019,tt2066051,"Biography, Drama, Music",7.3,30/04/2021
Iliza Shlesinger: Confirmed Kills,2016,tt6081882,Comedy,6.6,28/04/2021
Murder Mystery,2019,tt1618434,"Action, Comedy, Crime",6.0,24/04/2021
Why Did You Kill Me?,2021,tt14318430,"Documentary, Crime",5.6,19/04/2021
Pet Sematary,1989,tt0098084,"Fantasy, Horror, Thriller",6.6,14/04/2021
Scary Stories to Tell in the Dark,2019,tt3387520,"Adventure, Horror, Mystery",6.2,11/04/2021
Superbad,2007,tt0829482,Comedy,7.6,10/04/2021
White Chicks,2004,tt0381707,"Comedy, Crime",5.6,09/04/2021
Stardust,2007,tt0486655,"Adventure, Family, Fantasy",7.6,07/04/2021
About Time,2013,tt2194499,"Comedy, Drama, Fantasy",7.8,07/04/2021
Room,2015,tt3170832,"Drama, Thriller",8.1,06/04/2021
Donald Glover: Weirdo,2012,tt2345525,Comedy,7.4,05/04/2021
