Title,Date
The Accountant,26/08/2021
Daylight,25/08/2021
Tomb Raider,25/08/2021
Demolition Man,24/08/2021
Desperado,22/08/2021
Thirteen Ghosts,20/08/2021
Bridget Christie: Stand Up for Her,17/08/2021
Blood Red Sky,16/08/2021
Don't Let Go,15/08/2021
The Island,14/08/2021
The Ugly Truth,13/08/2021
The Cloverfield Paradox,12/08/2021
Cockneys vs Zombies,10/08/2021
The Open House,09/08/2021
Aftermath,08/08/2021
Saw III,04/08/2021
Bo Burnham: Inside,03/08/2021
The Meg,29/07/2021
Army of the Dead,28/07/2021
Crimson Peak,26/07/2021
Stowaway,25/07/2021
The Strangers,24/07/2021
Late Night,23/07/2021
Split,23/07/2021
Iliza Shlesinger: Unveiled,22/07/2021
Highlander,18/07/2021
Awake,16/07/2021
The Other Guys,15/07/2021
The Road to El Dorado,10/07/2021
Happy Death Day 2U,09/07/2021
Couples Retreat,05/07/2021
Good on Paper,29/06/2021
Iliza Shlesinger: Elder Millennial,27/06/2021
Believe Me: The Abduction of Lisa McVey,25/06/2021
The Dead Don't Die,20/06/2021
Tremors,19/06/2021
Friends with Money,17/06/2021
Think Like a Man Too,16/06/2021
Candyman,16/06/2021
The Devil Below,16/06/2021
Shrek,15/06/2021
The Boy,15/06/2021
Anna and the Apocalypse,14/06/2021
Along Came Polly,13/06/2021
Seven,13/06/2021
Snakes On A Plane,13/06/2021
Hancock,09/06/2021
Malevolent,09/06/2021
Friday the 13th,08/06/2021
Run,07/06/2021
Brightburn,07/06/2021
Second Act,06/06/2021
The Conjuring,05/06/2021
Death to 2020,05/06/2021
Overlord,04/06/2021
Nail Bomber: Manhunt,30/05/2021
Pitch Perfect,29/05/2021
Bridesmaids,22/05/2021
Katherine Ryan: In Trouble,21/05/2021
Limitless,19/05/2021
The Woman in the Window,17/05/2021
The Perfection,16/05/2021
Take Me,15/05/2021
Taylor Tomlinson: Quarter-Life Crisis,15/05/2021
Sarah Silverman A Speck of Dust,15/05/2021
Ma,15/05/2021
Sisters,11/05/2021
Kath & Kimderella,10/05/2021
Da Kath & Kim Code,10/05/2021
Moxie,10/05/2021
Bo Burnham: Make Happy,10/05/2021
Men in Black: International,09/05/2021
Bo Burnham: what.,09/05/2021
What to Expect When You're Expecting,09/05/2021
The Final Girls,05/05/2021
A Star Is Born,04/05/2021
A Long Way Down,04/05/2021
Premonition,03/05/2021
Burlesque,02/05/2021
Love and Monsters,02/05/2021
John Mulaney & The Sack Lunch Bunch,01/05/2021
School of Rock,01/05/2021
Rocketman,30/04/2021
Iliza Shlesinger: Confirmed Kills,28/04/2021
Murder Mystery,24/04/2021
Why Did You Kill Me?,19/04/2021
Pet Sematary,14/04/2021
Just Go With It,12/04/2021
Scary Stories to Tell in the Dark,11/04/2021
Superbad,10/04/2021
White Chicks,09/04/2021
Stardust,07/04/2021
About Time,07/04/2021
Room,06/04/2021
Pete Davidson: Alive From New York,05/04/2021
Donald Glover: Weirdo,05/04/2021
Christina P: Mother Inferior,05/04/2021
Greta,05/04/2021
Spider-Man: Into the Spider-Verse,03/04/2021
Greg Davies: You Magnificent Beast,02/04/2021
I See You,31/03/2021
When We First Met,29/03/2021
John Mulaney: The Comeback Kid,27/03/2021
Us,27/03/2021
Best of Stand-Up 2020,25/03/2021
Russell Howard: Recalibrate,25/03/2021
Katherine Ryan: Glitter Room,25/03/2021
It's Kind of a Funny Story,22/03/2021
What Men Want,21/03/2021
Holidays,21/03/2021
Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),19/03/2021
Iliza Shlesinger: Freezing Hot,19/03/2021
The Art of Self-Defense,18/03/2021
Ghostbusters,14/03/2021
New York Minute,07/03/2021
Mean Girls,07/03/2021
Zoolander,15/02/2021
The Blues Brothers,26/01/2021
Hook,22/01/2021
How to Lose a Guy in 10 Days,18/01/2021
Halloween,16/01/2021
Shaun the Sheep: The Farmer’s Llamas,14/01/2021
Slaughterhouse Rulez,10/01/2021
Game Night,06/01/2021
Galaxy Quest,05/01/2021
London Hughes: To Catch a D*ck,05/01/2021
Pitch Perfect 2,04/01/2021
Deadpool,03/01/2021
Jack Whitehall: Christmas with My Father,03/01/2021
Spree,01/01/2021
The Boys in the Band,31/12/2020
Rhys Nicholson Live at the Athenaeum,29/12/2020
The Babysitter: Killer Queen,28/12/2020
The Babysitter,27/12/2020
Nativity!,23/12/2020
Beyond the Mat,21/12/2020
Michelle Wolf: Joke Show,21/12/2020
Dr. Seuss' The Grinch,16/12/2020
Wanda Sykes: Not Normal,16/12/2020
Klaus,15/12/2020
Arthur Christmas,14/12/2020
Zach Galifianakis: Live at the Purple Onion,12/12/2020
Blades of Glory,11/12/2020
Forgetting Sarah Marshall,10/12/2020
Catwalk: Tales from the Cat Show Circuit,09/12/2020
This Is the End,07/12/2020
The Holiday,04/12/2020
Step Brothers,28/11/2020
Road Trip,27/11/2020
10 to Midnight,22/11/2020
His House,15/11/2020
Matilda,13/11/2020
Wild Child,08/11/2020
Patch Adams,06/11/2020
Annihilation,31/10/2020
Tales from the Crypt Presents: Bordello of Blood,11/10/2020
The Addams Family,11/10/2020
Dead Set: 1/5 (Monday 27 October 10pm),08/10/2020
The Prodigy,08/10/2020
Before I Wake,08/10/2020
The Other Side of the Door,08/10/2020
Addams Family Values,02/10/2020
Cam,02/10/2020
Curse of Chucky,02/10/2020
The Social Dilemma,26/09/2020
Just Like Heaven,15/09/2020
League of Legends Origins,11/09/2020
Christine,11/09/2020
13 Going on 30,06/09/2020
Crocodile Dundee,04/09/2020
The Cabin in the Woods,23/08/2020
How to Train Your Dragon,21/08/2020
The Truman Show,18/08/2020
Adult Life Skills,15/08/2020
The First Purge,12/08/2020
Wishmaster,12/08/2020
Sugar Rush: Extra Sweet: Tropical Vacation,11/08/2020
Sugar Rush: Extra Sweet: Blackout,11/08/2020
Sugar Rush: Extra Sweet: Perfect Illusion,11/08/2020
Kath and Kim: Kountdown Specials: The Glitz & The Glama,10/08/2020
Sugar Rush: Extra Sweet: Birds of a Feather,05/08/2020
Sugar Rush: Extra Sweet: Junk Foodie,03/08/2020
The Secret Garden,01/08/2020
The Mask,01/08/2020
Hereditary,31/07/2020
#cats_the_mewvie,13/07/2020
The Hole in the Ground,04/07/2020
Prom Night,14/06/2020
"Angus, Thongs and Perfect Snogging",07/06/2020
The Game Changers,05/06/2020
Ender's Game,25/05/2020
Have a Good Trip: Adventures in Psychedelics,25/05/2020
Chalet Girl,24/05/2020
The Great Hack,23/05/2020
Role Models,22/05/2020
Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend,19/05/2020
The Riot Club,16/05/2020
1922 (Trailer),16/05/2020
See You Yesterday,12/05/2020
The Platform,12/05/2020
The Dawn Wall,10/05/2020
Hail Satan?,09/05/2020
Louis Theroux: Dark States - Heroin Town,08/05/2020
Murder to Mercy: The Cyntoia Brown Story,07/05/2020
Catfish,05/05/2020
Wounds,04/05/2020
A Nightmare on Elm Street,02/05/2020
The Invitation,02/05/2020
Deadly Detention,01/05/2020
Voyeur,01/05/2020
Love Wedding Repeat,29/04/2020
The Miseducation of Cameron Post,28/04/2020
Chris Rock: Tamborine,28/04/2020
The Social Network,28/04/2020
He's Just Not That Into You,27/04/2020
Circle,26/04/2020
Friends with Benefits,26/04/2020
The House Bunny,25/04/2020
Trixie Mattel: Moving Parts,24/04/2020
Circus of Books,24/04/2020
Space Jam,21/04/2020
A Quiet Place,20/04/2020
Neighbors,17/04/2020
Get Him to the Greek,17/04/2020
Three Identical Strangers,13/04/2020
Extra Ordinary,13/04/2020
Child's Play,12/04/2020
"I, Tonya",06/04/2020
Oasis: Supersonic,05/04/2020
Long shot,03/04/2020
What If,30/03/2020
Final Destination 5,22/03/2020
Bird Box,19/03/2020
Maniac,18/03/2020
In the Tall Grass,18/03/2020
The Ritual,18/03/2020
Beetlejuice,17/03/2020
Pineapple Express,16/03/2020
Scott Pilgrim vs. the World,15/03/2020
Gerald's Game,15/03/2020
Orphan,13/03/2020
Kingsman: The Secret Service,11/03/2020
Easy A,05/03/2020
Simon Amstell: Set Free,03/03/2020
Dead in a Week... Or Your Money Back,01/03/2020
Girl on the Third Floor,27/02/2020
No Strings Attached,23/02/2020
Lady Bird,23/02/2020
The Mask of Zorro,21/02/2020
Kick-Ass,20/02/2020
Polaroid,19/02/2020
Legally Blonde,10/02/2020
Sinister,05/02/2020
Daybreakers,04/02/2020
The Hustle,02/02/2020
Groundhog Day,29/01/2020
Happy Death Day,27/01/2020
Horrible Bosses,26/01/2020
The Boy,21/01/2020
Escape Room,21/01/2020
Videodrome,21/01/2020
The Strangers: Prey at Night,12/01/2020
Hush,12/01/2020
Won't You Be My Neighbor?,08/01/2020
Inception,22/12/2019
The Death of Stalin,22/12/2019
Ghostbusters 2,12/12/2019
Mars Attacks!,22/11/2019
The World's End,22/11/2019
Paul,22/11/2019
Ex Machina,22/11/2019
Jumanji: Welcome to the Jungle,18/11/2019
The Little Hours,17/10/2019
Colossal,14/10/2019
El Camino: A Breaking Bad Movie,12/10/2019
Between Two Ferns: The Movie,10/10/2019
Twins,09/10/2019
Stranger than Fiction,22/09/2019
Last Action Hero,11/09/2019
The Thing,28/08/2019
Snowpiercer,01/08/2019
Baby Driver,31/07/2019
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,18/07/2019
James Acaster: Repertoire: Collection: Recognise,18/07/2019
"Frankenstein’s Monster’s Monster, Frankenstein",18/07/2019
Despicable Me 3,08/06/2019
Await Further Instructions,29/03/2019
Source Code,28/03/2019
Get Out,28/03/2019
The Grand Budapest Hotel,20/03/2019
Mystery Science Theater 3000: The Gauntlet: Experiment 1206: Ator,07/03/2019
Mystery Science Theater 3000: The Gauntlet: Experiment 1205: Killer Fish,07/03/2019
Mystery Science Theater 3000: The Gauntlet: Experiment 1204: The Day Time Ended,07/03/2019
Mystery Science Theater 3000: The Gauntlet: Experiment 1203: Lords of the Deep,22/02/2019
Mystery Science Theater 3000: The Gauntlet: Experiment 1201: Mac and Me,22/02/2019
Abducted in Plain Sight,22/02/2019
Behind the Curve,22/02/2019
Friday the 13th: Part 5: A New Beginning,01/11/2018
Jigsaw,24/10/2018
Creep,24/10/2018
The Purge: Election Year,19/10/2018
The Vault,11/10/2018
Insidious,10/10/2018
Louis Theroux: Savile,14/07/2018
Donnie Darko,09/11/2015
Donnie Darko: Director's Cut,09/11/2015
Maria Bamford: The Special Special Special,04/08/2015
RoboCop 2,23/06/2015
Back to the Future Part II,20/06/2015
The Comedians of Comedy: The Movie,19/06/2015
In Bruges,20/05/2015
Clueless,14/05/2015
"Jeff, Who Lives at Home",11/05/2015
Pageant,09/03/2015
Death at a Funeral,09/03/2015
Filth,21/02/2015
"The Adventures of Priscilla, Queen of the Desert",14/02/2015
The Birdcage,13/02/2015
The Fisher King,18/01/2015
Charlie Bartlett,18/01/2015
